infinitiv;aktiv_indikativ_praesens_singular_1;aktiv_indikativ_praesens_singular_2;aktiv_indikativ_praesens_singular_3;aktiv_indikativ_praesens_plural_1;aktiv_indikativ_praesens_plural_2;aktiv_indikativ_praesens_plural_3;aktiv_indikativ_praeteritum_singular_1;aktiv_indikativ_praeteritum_singular_2;aktiv_indikativ_praeteritum_singular_3;aktiv_indikativ_praeteritum_plural_1;aktiv_indikativ_praeteritum_plural_2;aktiv_indikativ_praeteritum_plural_3;aktiv_indikativ_perfekt_singular_1;aktiv_indikativ_perfekt_singular_2;aktiv_indikativ_perfekt_singular_3;aktiv_indikativ_perfekt_plural_1;aktiv_indikativ_perfekt_plural_2;aktiv_indikativ_perfekt_plural_3;aktiv_indikativ_plusquamperfekt_singular_1;aktiv_indikativ_plusquamperfekt_singular_2;aktiv_indikativ_plusquamperfekt_singular_3;aktiv_indikativ_plusquamperfekt_plural_1;aktiv_indikativ_plusquamperfekt_plural_2;aktiv_indikativ_plusquamperfekt_plural_3;aktiv_indikativ_futuri_singular_1;aktiv_indikativ_futuri_singular_2;aktiv_indikativ_futuri_singular_3;aktiv_indikativ_futuri_plural_1;aktiv_indikativ_futuri_plural_2;aktiv_indikativ_futuri_plural_3;aktiv_indikativ_futurii_singular_1;aktiv_indikativ_futurii_singular_2;aktiv_indikativ_futurii_singular_3;aktiv_indikativ_futurii_plural_1;aktiv_indikativ_futurii_plural_2;aktiv_indikativ_futurii_plural_3
sein;bin;bist;ist;sind;seid;sind;war;warst;war;waren;wart;waren;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen;sein;sein;sein;sein;sein;sein;gewesen;gewesen;gewesen;gewesen;gewesen;gewesen
haben;habe;hast;hat;haben;habt;haben;hatte;hattest;hatte;hatten;hattet;hatten;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt;haben;haben;haben;haben;haben;haben;gehabt;gehabt;gehabt;gehabt;gehabt;gehabt
